"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"REF**";"OSHW-Logo_5.7x6mm_SilkScreen";1;"OSHW-Logo_5.7x6mm_SilkScreen";;;
2;"REF**";"KiCad-Logo2_5mm_SilkScreen";1;"KiCad-Logo2_5mm_SilkScreen";;;
3;"R11,R10";"R_0805_2012Metric";2;"1K";;;
4;"TR1";"Converter_ACDC_Hahn_HS-400xx_THT";1;"MYRRA 44049";;;
5;"U3";"ESP32-WROOM-32";1;"ESP32-WROOM-32D";;;
6;"SW2,SW1";"SW_Push_1P1T_NO_CK_KMR2";2;"SW_Push";;;
7;"J3";"PhoenixContact_GMSTBVA_2,5_2-G_1x02_P7.50mm_Vertical";1;"Screw_Terminal_01x02";;;
8;"PS1";"Converter_ACDC_Hahn_HS-400xx_THT";1;"MYRRA 47121";;;
9;"J4";"PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left";1;"Conn_01x04";;;
10;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
11;"U1";"SSOP-28_5.3x10.2mm_P0.65mm";1;"FT232RL";;;
12;"RV1";"RV_Disc_D12mm_W3.9mm_P7.5mm";1;"14D471";;;
13;"R9,R8";"R_0805_2012Metric";2;"10K";;;
14;"R7,R6";"R_0805_2012Metric";2;"1K2";;;
15;"R2,R1";"R_0805_2012Metric";2;"5K1";;;
16;"Q2,Q1";"SOT-23";2;"2N7002";;;
17;"F1";"Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open";1;"Fuse";;;
18;"C6,C4";"C_0805_2012Metric";2;"0.1uF/25V(10%)";;;
19;"J2";"Jack_3.5mm_PJ311_Horizontal";1;"Jack_CTSensor";;;
20;"U2";"TSSOP-10_3x3mm_P0.5mm";1;"ADS1115IDGS";;;
21;"R5";"R_0805_2012Metric";1;"5K(1%)";;;
22;"R4";"R_0805_2012Metric";1;"75k";;;
23;"R3";"R_0805_2012Metric";1;"5k";;;
24;"C5,C3";"C_0805_2012Metric";2;"10uF/25V(10%)";;;
25;"C2";"C_0805_2012Metric";1;"1uF/10V(10%)";;;
26;"C1";"C_0805_2012Metric";1;"100uF/6.3V(20%)";;;
